STATION,NAME,DATE,DAEV,DAWM,EVAP,MDEV,MDWM,MNPN,MXPN,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WDMV
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-09,,,0.75,,,,,0,0,0,118,92,115,26.7
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-10,,,0.9,,,,,0,0,0,115,95,101,177.7
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-11,,,0.62,,,,,0.02,0,0,109,85,108,75.2
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-12,,,0.45,,,,,0,0,0,112,88,112,42.9
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-13,,,0.72,,,,,0,0,0,114,89,114,19.9
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-14,,,0.72,,,,,0,0,0,115,90,112,69
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-15,,,0.9,,,,,0,0,0,113,92,112,200.1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-16,,,0.8,,,,,0,0,0,110,88,108,113.7
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-17,,,0.75,,,,,0,0,0,112,89,110,77.1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-18,,,0.6,,,,,0,0,0,116,82,115,88.2
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-19,,,0.53,,,,,0.29,0,0,115,83,100,49.7
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-20,,,0.36,,,,,0,0,0,112,85,107,31.7
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-21,,,0.56,,,,,0,0,0,117,93,116,41
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-22,,,0.52,,,,,0.35,0,0,118,82,106,75.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-23,,,0.47,,,,,0.05,0,0,113,85,96,60.3
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-24,,,0.41,,,,,0,0,0,105,79,105,80.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-25,,,0.75,,,,,0,0,0,110,89,109,93.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-26,,,0.89,,,,,0,0,0,111,85,111,118.1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-27,,,0.99,,,,,0,0,0,110,82,107,154.1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-28,,,0.77,,,,,0,0,0,108,81,105,123
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-29,,,0.78,,,,,0,0,0,105,84,103,128
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-30,,,0.59,,,,,0.04,0,0,103,82,102,95.1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-31,,,0.63,,,,,0,0,0,109,81,108,80.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-09-01,,,0.64,,,,,0,0,0,110,89,110,110
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-09-02,,,1.01,,,,,0,0,0,110,82,99,172.1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-09-03,,,0.7,,,,,0,0,0,99,74,97,110
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-09-04,,,0.53,,,,,0,0,0,103,66,102,37.9
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-09-05,,,0.45,,,,,0,0,0,107,71,106,39.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-09-06,,,0.6,,,,,0,0,0,108,74,107,3.7
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-09-07,,,0.94,,,,,0,0,0,108,79,105,185.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-09-08,,,0.83,,,,,0,0,0,106,78,99,151
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-09-09,,,0.57,,,,,0,0,0,99,74,98,80.2
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-09-10,,,0.5,,,,,0,0,0,104,73,103,51
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-09-11,,,0.47,,,,,0,0,0,107,70,106,34.2
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-09-12,,,0.48,,,,,0,0,0,109,71,109,31.1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-09-13,,,0.53,,,,,0,0,0,109,74,109,37.3
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-09-14,,,0.75,,,,,0,0,0,109,81,103,121.2
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-09-15,,,0.85,,,,,0,0,0,105,85,104,156
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-09-16,,,0.75,,,,,0,0,0,105,85,102,146
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-09-17,,,0.88,,,,,0,0,0,102,78,93,220
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-09-18,,,0.55,,,,,0,0,0,94,66,92,75.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-09-19,,,0.57,,,,,0,0,0,94,73,94,90.7
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-09-20,,,0.64,,,,,0,0,0,97,68,97,95.1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-09-21,,,0.45,,,,,0,0,0,97,76,91,111.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-09-22,,,0.43,,,,,0,0,0,92,70,89,95.1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-09-23,,,0.4,,,,,0,0,0,95,73,94,9.9
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-09-24,,,0.6,,,,,0,0,0,94,76,94,134.2
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-09-25,,,0.36,,,,,0,0,0,99,64,98,31.7
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-09-26,,,0.4,,,,,0,0,0,102,65,102,32.9
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-09-27,,,0.34,,,,,0,0,0,104,65,102,21.1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-09-28,,,0.43,,,,,0,0,0,108,69,103,31.1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-09-29,,,0.45,,,,,0,0,0,104,79,99,49.1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-09-30,,,0.45,,,,,0,0,0,101,72,99,34.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-10-01,,,0.43,,,,,0,0,0,103,66,102,37.9
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-10-02,,,0.53,,,,,0,0,0,102,76,99,78.3
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-10-03,,,0.35,,,,,0,0,0,99,67,91,26.1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-10-04,,,0.37,,,,,0,0,0,100,63,97,23
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-10-05,,,0.33,,,,,0,0,0,98,61,92,37.3
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-10-06,,,0.31,,,,,0,0,0,99,61,95,19.9
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-10-07,,,0.49,,,,,0,0,0,97,72,93,72.7
